CLIENTNUM,Income_Category,Total_Trans_Amt
810347208,$120K +,1330
785432733,Less than $40K,966
779749908,$60K - $80K,1350
716455683,Less than $40K,1279
827332983,$80K - $120K,1362
708579633,$40K - $60K,1421
710997183,$60K - $80K,1409
718206783,Less than $40K,1436
803347908,Less than $40K,2327
816776283,$80K - $120K,1534
710628783,$80K - $120K,1445
720009558,Unknown,2574
714832383,$80K - $120K,2949
806170158,$60K - $80K,3899
797757333,$60K - $80K,4149
715749108,$60K - $80K,3205
714199983,$60K - $80K,3927
709163358,$60K - $80K,1727
720683958,$80K - $120K,4077
711750183,Less than $40K,3640
816084333,$120K +,3260
712236483,Less than $40K,4487
711191808,$80K - $120K,4256
713745783,Unknown,2336
719874633,$80K - $120K,1891
709912683,Unknown,4390
715627833,$60K - $80K,4539
789059958,$120K +,3574
716899233,Less than $40K,4542
779544708,$120K +,3931
716614683,$60K - $80K,3847
712845258,$80K - $120K,4161
714075708,$80K - $120K,4814
816378033,$80K - $120K,1989
817607358,Unknown,2227
794068308,$40K - $60K,4141
709329558,Less than $40K,4566
715252383,Unknown,3595
788782008,Less than $40K,4146
714848958,Less than $40K,2315
720460083,Unknown,2198
713916708,$120K +,7758
712879158,$60K - $80K,7693
711542358,Less than $40K,7471
713894358,$80K - $120K,7889
720712533,$80K - $120K,7499
789681708,$60K - $80K,7750
713102733,Less than $40K,8195
713537733,$60K - $80K,7582
717521508,$80K - $120K,6932
792524358,$80K - $120K,7917
811700058,$60K - $80K,4822
717340608,Unknown,7703
718189908,$40K - $60K,7885
780064983,$80K - $120K,7665
772869033,$120K +,7283
719623083,Less than $40K,8302
718304583,$60K - $80K,4805
820394733,$120K +,7690
711370458,Less than $40K,7685
788916933,$60K - $80K,8095
712191783,$120K +,7788
718100808,Less than $40K,7395
825767658,$60K - $80K,7711
720422358,$60K - $80K,7485
712948383,$60K - $80K,7396
714510483,$80K - $120K,7640
770705208,Less than $40K,7890
779779083,$40K - $60K,7872
714823308,Less than $40K,7345
709530408,$120K +,8007
718353633,$80K - $120K,5547
719296383,$60K - $80K,7885
708428958,$80K - $120K,9179
714383583,$40K - $60K,8646
717757608,$120K +,8938
712152408,$60K - $80K,12478
708369633,Less than $40K,7031
708863733,$40K - $60K,13847
718801158,$40K - $60K,14455
716247708,$120K +,14149
717571683,$40K - $60K,4536
716124408,$120K +,7486
780349833,$40K - $60K,15236
711813258,$60K - $80K,13633
712544358,$120K +,15552
708226833,$120K +,13247
770560683,$120K +,13021
714303483,$40K - $60K,15039
714391683,$60K - $80K,8248
788671608,$40K - $60K,14393
713390433,$60K - $80K,6782
712341933,$60K - $80K,13578
718337733,Unknown,14994
715132758,$40K - $60K,15281
715645908,$80K - $120K,8480
778643733,$40K - $60K,9140
715600533,$80K - $120K,13722
715496058,Less than $40K,7832
779685558,$120K +,15290
710244108,$60K - $80K,13967
809147283,Less than $40K,15058
710178558,$60K - $80K,9314
716933283,$60K - $80K,14738
772596783,Less than $40K,15442
766769058,$40K - $60K,15817
718455633,Unknown,16328
710047533,$80K - $120K,8614
768728508,Less than $40K,14209
712509108,Less than $40K,8356
773185833,$60K - $80K,15095
715268508,$40K - $60K,14840
716850558,$60K - $80K,15279
715713408,Less than $40K,15853
717714633,$120K +,15277
708564858,$120K +,9338
